run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.45971667766571045, 0.45971667766571045, 0.8575166463851929, 0.8575166463851929, 0.8626166582107544, 0.8743166923522949, 0.8796499967575073, 0.9423166513442993, 0.9829666614532471, 0.9829666614532471, 0.9829666614532471, 0.9830499887466431, 0.9830499887466431, 0.9843000173568726, 0.9931833148002625, 0.9958500266075134, 0.9988499879837036, 0.9988499879837036, 0.9988499879837036, 0.9994000196456909]"
2,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.9026833176612854, 0.9026833176612854, 0.9026833176612854, 0.9026833176612854, 0.9230833053588867, 0.926966667175293, 0.955216646194458, 0.9620166420936584, 0.9866166710853577, 0.9866166710853577, 0.9968833327293396, 0.9968833327293396, 0.9968833327293396, 0.9987999796867371, 0.9987999796867371, 0.9987999796867371, 0.9989833235740662, 0.9989833235740662, 0.9989833235740662, 0.9989833235740662]"
3,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.5114666819572449, 0.7228000164031982, 0.8463666439056396, 0.8697333335876465, 0.9842666387557983, 0.9842666387557983, 0.9842666387557983, 0.9842666387557983, 0.9858666658401489, 0.9975666403770447, 0.9975666403770447, 0.9984833598136902, 0.9988333582878113, 0.9991333484649658, 0.9991333484649658, 0.9991333484649658, 0.9991333484649658, 0.9991333484649658, 0.9991333484649658, 0.9991333484649658]"
4,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.7133833169937134, 0.8201166391372681, 0.923633337020874, 0.923633337020874, 0.923633337020874, 0.9429000020027161, 0.9778000116348267, 0.9864333271980286, 0.9864333271980286, 0.9951666593551636, 0.9951666593551636, 0.9951666593551636, 0.9951666593551636, 0.9971833229064941, 0.9971833229064941, 0.9983333349227905, 0.9998833537101746, 0.9998833537101746, 0.9998833537101746, 0.9998833537101746]"
5,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.70496666431427, 0.9082499742507935, 0.9455666542053223, 0.9455666542053223, 0.9703666567802429, 0.9992666840553284, 0.9992666840553284, 0.9992666840553284, 0.9992666840553284, 0.9993000030517578, 0.9997333288192749, 0.9997833371162415, 0.9997833371162415, 0.9998166561126709, 0.9998166561126709, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 1.0, 1.0]"
6,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.6133166551589966, 0.618399977684021, 0.7456166744232178, 0.9141499996185303, 0.9141499996185303, 0.9470166563987732, 0.9667999744415283, 0.9667999744415283, 0.9707833528518677, 0.9710666537284851, 0.9912833571434021, 0.9912833571434021, 0.9912833571434021, 0.995116651058197, 0.9975333213806152, 0.9996166825294495, 0.9996166825294495, 0.9996166825294495, 0.9996166825294495, 0.9996166825294495]"
7,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.5946666598320007, 0.8055499792098999, 0.8794166445732117, 0.944433331489563, 0.9679999947547913, 0.9901166558265686, 0.998283326625824, 0.9990333318710327, 0.9990333318710327, 0.9990333318710327, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9997666478157043, 0.9999499917030334, 0.9999499917030334, 0.9999499917030334]"
8,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.6480666399002075, 0.6691666841506958, 0.9084833264350891, 0.9251000285148621, 0.9891499876976013, 0.9891499876976013, 0.9891499876976013, 0.9891499876976013, 0.9891499876976013, 0.9891499876976013, 0.9891499876976013, 0.9948499798774719, 0.9963333606719971, 0.9963333606719971, 0.9964666962623596, 0.9964666962623596, 0.9964666962623596, 0.9973999857902527, 0.9975666403770447, 0.9990666508674622]"
9,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.5024166703224182, 0.7950166463851929, 0.7950166463851929, 0.8960000276565552, 0.8960000276565552, 0.9544000029563904, 0.9844333529472351, 0.9962833523750305, 0.9962833523750305, 0.9962833523750305, 0.9962833523750305, 0.9962833523750305, 0.9993666410446167, 0.9993666410446167, 0.9993666410446167, 0.9993666410446167, 0.9993666410446167, 0.9993666410446167, 0.9993666410446167, 0.9993833303451538]"
10,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.3,,"[0.5581499934196472, 0.9592999815940857, 0.9592999815940857, 0.9733499884605408, 0.9733499884605408, 0.9733499884605408, 0.9733499884605408, 0.9775999784469604, 0.9775999784469604, 0.9775999784469604, 0.9813500046730042, 0.9951000213623047, 0.9974666833877563, 0.9974666833877563, 0.9974666833877563, 0.9974666833877563, 0.9979000091552734, 0.9983999729156494, 0.9983999729156494, 0.9993166923522949]"
1,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.7140499949455261, 0.9063500165939331, 0.9706833362579346, 0.9896000027656555, 0.9896000027656555, 0.9896000027656555, 0.9896000027656555, 0.9896000027656555, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9956499934196472, 0.9987333416938782, 0.9987333416938782, 0.9987333416938782]"
2,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.5044333338737488, 0.5044333338737488, 0.5698999762535095, 0.572866678237915, 0.572866678237915, 0.7454166412353516, 0.8970666527748108, 0.9230166673660278, 0.9230166673660278, 0.9264333248138428, 0.9264333248138428, 0.9693999886512756, 0.9719833135604858, 0.9758166670799255, 0.9915333390235901, 0.9937000274658203, 0.9937000274658203, 0.9989833235740662, 0.9989833235740662, 0.9990166425704956]"
3,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.7961000204086304, 0.8200166821479797, 0.8200166821479797, 0.8999666571617126, 0.8999666571617126, 0.9302833080291748, 0.9466000199317932, 0.9670500159263611, 0.9931333065032959, 0.9940666556358337, 0.9958833456039429, 0.9958833456039429, 0.9958833456039429, 0.9958833456039429, 0.998116672039032, 0.998116672039032, 0.998116672039032, 0.998116672039032, 0.9996333122253418, 0.9996333122253418]"
4,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.5891333222389221, 0.9475833177566528, 0.9475833177566528, 0.9475833177566528, 0.9475833177566528, 0.9475833177566528, 0.9649999737739563, 0.9649999737739563, 0.9649999737739563, 0.9852333068847656, 0.9868666529655457, 0.9868666529655457, 0.9874333143234253, 0.9874333143234253, 0.990066647529602, 0.990066647529602, 0.993233323097229, 0.9955333471298218, 0.9971166849136353, 0.9971166849136353]"
5,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.908216655254364, 0.9744666814804077, 0.9847833514213562, 0.9847833514213562, 0.9892333149909973, 0.9937833547592163, 0.9958333373069763, 0.9966999888420105, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9986500144004822, 0.9987333416938782, 0.9988499879837036, 0.9993666410446167, 0.9993666410446167]"
6,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.7615500092506409, 0.7615500092506409, 0.8316333293914795, 0.8316333293914795, 0.8438000082969666, 0.9244333505630493, 0.9244333505630493, 0.9586833119392395, 0.9643166661262512, 0.9696499705314636, 0.9769499897956848, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9965000152587891, 0.9969499707221985]"
7,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.5007833242416382, 0.6981666684150696, 0.9127500057220459, 0.9127500057220459, 0.9127500057220459, 0.9211500287055969, 0.9728833436965942, 0.9728833436965942, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9892333149909973, 0.9918000102043152, 0.9953166842460632, 0.9953166842460632]"
8,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.767383337020874, 0.8846666812896729, 0.9507333040237427, 0.9507333040237427, 0.9630833268165588, 0.9733333587646484, 0.9733333587646484, 0.9733333587646484, 0.9733333587646484, 0.9733333587646484, 0.9733333587646484, 0.9873666763305664, 0.9873666763305664, 0.9873666763305664, 0.9873666763305664, 0.9883666634559631, 0.9883666634559631, 0.9883666634559631, 0.9883666634559631, 0.9883666634559631]"
9,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.6318166851997375, 0.678683340549469, 0.9364666938781738, 0.9364666938781738, 0.9662500023841858, 0.9932166934013367, 0.9932166934013367, 0.9932166934013367, 0.9932166934013367, 0.9935833215713501, 0.9991000294685364, 0.9992499947547913, 0.9992499947547913, 0.9992499947547913, 0.9997000098228455, 0.9997000098228455, 0.9997000098228455, 0.9999333620071411, 0.9999333620071411, 0.9999666810035706]"
10,10,20,20,fps,uniform_crossover,arithmetic_mutation,0.9,0.1,,"[0.7786166667938232, 0.9364500045776367, 0.9902833104133606, 0.9965000152587891, 0.997866690158844, 0.997866690158844, 0.997866690158844, 0.997866690158844, 0.997866690158844, 0.997866690158844, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993, 0.9990833401679993]"
